formatted_address,name,photos,place_id,rating,types,user_ratings_total,lat,lng
"Jl. Siliwangi No.1, Sumur Batu, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat 16810, Indonesia",Taman Budaya Sentul City,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100682338050829331754"">EdwardLawanto</a>'], 'photo_reference': 'AUGGfZlNuLCL-pAA03kpNMCupLhtxTrXB5zcC3WMjX4_inaYrmzK7pxqr5DMQavqHHq7othzKfMA3SlsyD-sV582eNswslJnOZuhq19QlLKreKRqipDqCbh0oEggKExXZGb4ATfhSJO-IO6hJz8JbN-stqaV5yoi8VEUZrFGN6fHZQHhBQ5k', 'width': 1920}]",ChIJ37fbU6Ej5C0RGUBNRc2qwao,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",20439.0,-6.5840022,106.8827827
"Jl. Ptp Terusan, Karang Tengah, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat 16810, Indonesia",Goa Agung Garunggang,"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111377169906239389550"">Rinnie Soetarto</a>'], 'photo_reference': 'AUGGfZn4G2f_bR54ZEw9_1_csZYkJVtBvc_y8Hj0JGIUE50rqVIvuGu246clXfMlxXEU4Rk-chbS2dkDVlomMZrN_rRF8xIMXVKnTAN-KjeHZglrHgqXqNq4uagkZwjRFJpg1MqjNp_N46y24wgdOTP3oA68mOGy5dn5pX-KLBNXDbczDpSv', 'width': 4096}]",ChIJj8kjtPK4aS4RBjTeIL8Itts,4.6,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",671.0,-6.57315,106.936201
"Jalan raya jangelansentul, Karang Tengah, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat 16830, Indonesia",Leuwi Hejo,"[{'height': 1040, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107472805738873493004"">A Google User</a>'], 'photo_reference': 'AUGGfZlE40NPGDldCjjfOIe-0WfkspxORty1DZiK6qHrdJmHn4VBADu16hYINlUT-7X3hA6rCqvS5B9CeHGaq3DhJj235bbRs1UoG3L_cmCLmeut0dKp-A3un5WGWFoZsVXdmLa488wm4PAOnZ1dw2F0lwrl62SbobrEd1C10nh0qrnCyzSR', 'width': 780}]",ChIJKQHQj1O4aS4RLKzwNHhUi_o,4.3,"['tourist_attraction', 'point_of_interest', 'establishment']",10065.0,-6.583831,106.8925713
"FV83+X8P, Jl. Raya Sirkuit Sentul, Sentul, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat 16810, Indonesia",Pancakarsa Monument,"[{'height': 1420, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101220097674080679624"">ikung forumproperti</a>'], 'photo_reference': 'AUGGfZkfp7-16CQvrOlGM9j4ZcCIKVly8cLoRHONB_hi0ilzrzsLiJMeKE9OyS_JM7Z_pDnUxsMkI_t8csrKT_qNCQ9y-3iXMj9VnYlnKwwAOTHOwLhbLpvLS5CdTdTK2kzdy6bZipq87WocretjwMlURGRuiZ2dorGVFfYO8mTTMexPmacj', 'width': 1048}]",ChIJGd0aNwLBaS4R3CEYa0dEJHE,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",153.0,-6.532535999999999,106.8533763
"FVH2+G4V, Bojong Koneng, Sentul, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat 16810, Indonesia",Trekking Sentul,"[{'height': 4640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112260087708083757748"">A Google User</a>'], 'photo_reference': 'AUGGfZmvmjXNheQsrCNzYf6vaNGFo8Q8m1eFA58l6p1U8HuqnVT44NP3TTOGig7u0u6RHbWrbTMN-hBuf3939_lev5PIhENSyvYu3Gw5majrp2Lq65OgzVQCWVR4hUxSgqvcu3WGhmURmwzIuLqPD2NH7WpMFloLF6obTNWtelwnM-DtJTno', 'width': 3472}]",ChIJ72Ncj1LBaS4RPATrptKpkHU,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",4.0,-6.5211331,106.8502879
"CWH7+256, Central Karang, Babakan Madang, Bogor Regency, West Java 16810, Indonesia",sentul eco edu tourism forest,"[{'height': 959, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107595336481230533725"">Abdul Azis</a>'], 'photo_reference': 'AUGGfZmGzPgYgIch4_97jAFWb_jwZkZsVIKkVqPsv4FenMMR9LQUllM9iYK72_6G4rHZVitXeakIVt7CxoURY_cgFFp7cD1pMp4rykWkB-NX6atxJipSxtFaK2j1jZ-GHrNjV37G97ejozoHHh1SL4t_3_WGqzDWJNH9cur3W-yFm_9vjKJU', 'width': 1280}]",ChIJc-lKsEy5aS4RaVPQnJmLFfU,4.5,"['tourist_attraction', 'campground', 'park', 'lodging', 'point_of_interest', 'establishment']",213.0,-6.572457699999999,106.9129037
"CW93+MV2, Jl. Desa, Karang Tengah, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat 16810, Indonesia",Mount Pancar Hot Spring Water,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100285735232787629749"">Asep Siroj</a>'], 'photo_reference': 'AUGGfZkeoyeRoX3Vsb7JeAcetSQiTEir1BGgLRnl8hxAAR84sNgS-MeMWiyayjatticS0VsM32VlOoR4f5SCXJg7Kb84AypJGa1SD8vHfg_pFBFt1_WiuaB4mRjCVOWt-RZvdViE5LtY9Uo-4n27OQkkM0fp0SJkZmLlt7ai6jH9YlKllpAE', 'width': 4160}]",ChIJA-OVbX-4aS4RxsGERLY6fxU,3.6,"['tourist_attraction', 'point_of_interest', 'establishment']",505.0,-6.5808538,106.9046265
"Jl. Gn. Pancar No.85, Karang Tengah, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat 16810, Indonesia",Sentul trekking bogor,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117433462270680143267"">A Google User</a>'], 'photo_reference': 'AUGGfZm9DSMMhvveCXm6l2lrJYonLyHxWWBOevP19nq3f-bi73ps4xUWq3UB_4kJJumOkqQAs5O5Mx9BC9WdCpsGBw3lzDGHyswGn9wXYB-tSY03xY0WWFmp6KXs9qeCYpa5dxAllECHGt3Wk29NnJ8TGKbh-zc8g_MpFivqYpMpXp37oSIT', 'width': 2448}]",ChIJwwy-NJvHaS4R1qKb2gqfRd0,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,-6.5756156,106.893677
"Jl. Babakan Madang Sukamakmur, Kampung Cigobang, Central Karang, Babakan Madang, Bogor Regency, West Java 16810, Indonesia",Hutan Hujan Sentul,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109974960019144862698"">John Stefanus Chandra</a>'], 'photo_reference': 'AUGGfZmhyEgFhK3fLIPOOhDfu8O2USdZ1jLADuwMtJaOB4mB3VSrYqNfOwsrZ09yHLigyu0DfRX_KSZhW4kRnwk4TaudusG6gudZ9y8hhh3A2P6422wYgYUv8pfYjWtkVj-akn6TUwhu0UGqjSeC8Ipduv3JJhHBt2Y0O4RqiEfrtMrhS4nZ', 'width': 4000}]",ChIJ444oBpG5aS4RGoylI4egoaE,4.7,"['tourist_attraction', 'point_of_interest', 'establishment']",268.0,-6.579258599999999,106.9277932
"CWC9+FHV, Unnamed Road, Karang Tengah, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat 16810, Indonesia",Leuwi Kunten Sentul Bogor,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102913950688575007570"">Moh. Yahya</a>'], 'photo_reference': 'AUGGfZn8wlM49lZz3pX5jtpVx15UCiq3d_fEd6gqlqfKp-zArFTr0roBUvjp4PpA8GujqTL2umlDlgj0KpdrzjT-zaGoWJ-tTpuI7xhYhZNRBFJjK9gXFA9-h9uPeHvIZMZQTu_koV8EjoSoiNpAMHi_TKKZtjJ_Xmzs4RsdZCZ9aM8GLoHw', 'width': 4000}]",ChIJf6tLurO5aS4RPfB3qnW-wFU,4.3,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",1455.0,-6.578766,106.9189104
